RT,QPS,deploy_mode
10,87.9,cluster
52,92.9,cluster
83,119,cluster
98,152,cluster
114,173,cluster
115,343,cluster
148,402,cluster
240,413.3,cluster
336,414.6,cluster
448,399.8,cluster
541,407.2,cluster
578,413,cluster
627,412.9,cluster
717,419.1,cluster
864,416.5,cluster
5,172,standalone
20,249,standalone
34,285,standalone
63,311,standalone
91,430,standalone
134,443,standalone
223,444.5,standalone
269,443.5,standalone
314,442.8,standalone
404,443.1,standalone
495,442.3,standalone
537,446.4,standalone
582,446.7,standalone
672,446,standalone
802,448.8,standalone
