Recall,nprobe,RT,dataset
0.379,1,2.419348001,glove
0.508,2,3.27226162,glove
0.621,4,4.470273733,glove
0.715,8,7.898554564,glove
0.792,16,12.98356462,glove
0.856,32,23.78910685,glove
0.908,64,45.80408335,glove
0.951,128,87.89239192,glove
0.979,256,170.6512713,glove
0.995,512,347.946938,glove
0.376,1,1.446408,sift
0.537,2,1.982649,sift
0.7,4,2.730107,sift
0.839,8,4.178972,sift
0.931,16,6.941368,sift
0.979,32,13.09921,sift
0.996,64,24.58277,sift
0.999,128,48.51923,sift
0.999,256,92.54643,sift
0.999,512,184.2342,sift
