RT,nq,topk,vps
0.0131,1,1,76.3358779
0.0121,1,200,82.6446281
0.0135,1,500,74.0740741
0.0144,1,1000,69.4444444
0.0136,10,1,735.294118
0.0162,10,200,617.283951
0.0185,10,500,540.540541
0.0234,10,1000,427.350427
0.0411,100,1,2433.09002
0.0475,100,200,2105.26316
0.0698,100,500,1432.66476
0.1058,100,1000,945.179584
0.1446,500,1,3457.81466
0.1989,500,200,2513.82604
0.3003,500,500,1665.00167
0.438,500,1000,1141.55251
0.2941,1000,1,3400.20401
0.3927,1000,200,2546.47313
0.5351,1000,500,1868.80957
0.8232,1000,1000,1214.77162
0.3775,1200,1,3178.80795
0.4758,1200,200,2522.0681
0.6454,1200,500,1859.31205
0.9775,1200,1000,1227.62148
0.6012,2000,1,3326.67997
0.8073,2000,200,2477.39378
1.0531,2000,500,1899.15488
1.5873,2000,1000,1260.00126
1.7565,5000,1,2846.56988
1.9376,5000,200,2580.51197
2.5256,5000,500,1979.72759
3.8005,5000,1000,1315.61637
3.8685,10000,1,2584.98126
3.9708,10000,200,2518.3842
5.1667,10000,500,1935.47138
7.5669,10000,1000,1321.54515
